Date1,Date2,Category,Name
2024年10月15日 下午11:51:31,2024年10月15日 下午11:51:31,,[ANi] 噗妮露是可愛史萊姆 - 02 [1080P][Baha][WEB-DL][AAC AVC][CHT].mp4
2024年10月15日 下午11:39:49,2024年10月15日 下午11:39:49,Movies,Dandadan
2024年10月15日 下午11:31:13,2024年10月15日 下午11:31:13,,[Nekomoe kissaten][Love Live! Superstar!! S3][01][1080p][JPSC].mp4
2024年10月15日 下午11:18:28,2024年10月15日 下午11:18:28,Movies,Ranma 1/2
2024年10月15日 上午6:05:30,2024年10月15日 上午6:05:30,Movies,The Substance
2024年10月11日 上午12:22:18,2024年10月11日 上午12:22:18,,[ANi] 妻子變成小學生。 - 02 [1080P][Baha][WEB-DL][AAC AVC][CHT].mp4
2024年10月11日 上午12:02:10,2024年10月11日 上午12:02:10,,[AnimeRep]妻子变成小学生。第1集.mp4
2024年10月10日 上午7:47:55,2024年10月14日 下午2:05:01,Movies,Hellboy: The Crooked Man
2024年10月8日 上午2:34:52,2024年10月8日 上午2:34:52,,[ANi] 嘆氣的亡靈想隱退 - 02 [1080P][Baha][WEB-DL][AAC AVC][CHT].mp4
2024年10月7日 上午5:23:21,2024年10月14日 下午1:19:28,Movies,Deadpool & Wolverine
2024年10月7日 上午10:55:48,2024年10月7日 上午10:55:48,,[orion origin] Chi. Chikyuu no Undou ni Tsuite [01] [1080p] [H265 AAC] [CHT＆JPN].mp4
2024年10月7日 上午10:55:48,2024年10月7日 上午10:55:48,,[ANi] 被逐出隊伍的治癒師，其實是最強 - 01 [1080P][Baha][WEB-DL][AAC AVC][CHT].mp4
2024年10月7日 上午5:21:39,2024年10月7日 上午9:53:50,Movies,Azrael
2024年10月7日 上午9:49:52,2024年10月7日 上午9:49:52,,[ANi] 女僕冥土小姐 - 01 [1080P][Baha][WEB-DL][AAC AVC][CHT].mp4
2024年10月5日 上午4:56:51,2024年10月5日 上午5:18:15,,[MCE][Hamidashi Creative][01][BIG5][1080p][x264 AAC].mp4
2024年10月5日 上午4:53:37,2024年10月5日 上午4:53:37,,[ANi] 2.5 次元的誘惑 - 14 [1080P][Baha][WEB-DL][AAC AVC][CHT].mp4
2024年10月4日 下午12:16:54,2024年10月4日 下午12:16:54,,[ANi] 再見龍生，你好人生 - 01 [1080P][Baha][WEB-DL][AAC AVC][CHT].mp4
2024年10月4日 下午12:16:49,2024年10月4日 下午12:16:49,,[ANi] 孤單一人的異世界攻略 - 02 [1080P][Baha][WEB-DL][AAC AVC][CHT].mp4
2024年10月4日 下午12:15:59,2024年10月4日 下午12:15:59,,[ANi] 膽大黨 - 01 [1080P][Baha][WEB-DL][AAC AVC][CHT].mp4
2024年10月4日 下午12:15:28,2024年10月4日 下午12:15:28,,[ANi] 在地下城尋求邂逅是否搞錯了什麼 第五季 - 01 [1080P][Baha][WEB-DL][AAC AVC][CHT].mp4
2024年10月14日 下午1:56:41,2024年10月14日 下午1:56:41,XXX,2024年09月合集
2024年10月8日 上午8:47:41,2024年10月8日 上午8:47:41,,setup_gdysgl001_v120.7z
2024年10月14日 下午5:07:46,2024年10月14日 下午5:07:46,Movies,It's What's Inside
2024年10月14日 下午12:16:29,2024年10月14日 下午12:16:29,Movies,Agatha All Along
2024年10月14日 上午11:44:38,2024年10月14日 下午12:06:40,Movies,Hellboy: The Crooked Man
2024年10月14日 下午12:06:31,2024年10月14日 下午12:06:31,Movies,The Substance
2024年10月14日 上午11:45:03,2024年10月14日 上午11:45:03,Movies,The Penguin
2024年10月6日 上午7:18:35,2024年10月6日 上午7:18:35,Movies,Tulsa King
2024年10月15日 上午7:01:38,2024年10月15日 上午10:01:23,PC,Falcon BMS_4.37.4_Full_Setup
2024年10月13日 下午3:10:24,2024年10月13日 下午3:59:27,XXX,FC2PPV-4551307
2024年10月13日 上午10:57:32,2024年10月13日 上午10:57:32,Movies,Ranma 1/2
2024年10月13日 上午5:06:22,2024年10月13日 上午10:56:51,Movies,Wonderful Precure!
2024年10月10日 上午11:27:02,2024年10月10日 上午11:27:02,,[荻原沙优][ばにぃうぉ～か～]OVA 陰キャカップルが陽ギャル達とSEXトレーニン#1-2
2024年10月15日 下午1:22:47,2024年10月15日 下午1:22:47,Movies,Alya Sometimes Hides Her Feelings in Russian
2024年10月15日 上午8:11:46,2024年10月15日 下午1:11:28,Movies,Sword Art Online: Alternative Gun Gale Online
2024年10月15日 上午6:01:12,2024年10月15日 下午1:01:31,Movies,Sword Art Online: Alternative Gun Gale Online
2024年10月15日 下午12:56:26,2024年10月15日 下午12:56:26,,[ANi] 最狂輔助職業【話術士】世界最強戰團聽我號令 - 03 [1080P][Baha][WEB-DL][AAC AVC][CHT].mp4
2024年10月15日 上午6:55:47,2024年10月15日 下午12:56:15,,[Up to 21°C] 平凡職業造就世界最強 第三季 - 01 (Baha 1920x1080 AVC AAC MP4) [23AF3C1E].mp4
2024年10月15日 上午8:54:44,2024年10月15日 下午12:55:21,,[ANi] 最狂輔助職業【話術士】世界最強戰團聽我號令 - 01 [1080P][Baha][WEB-DL][AAC AVC][CHT].mp4
2024年10月15日 上午5:53:16,2024年10月15日 下午12:53:33,,[ANi] 最狂輔助職業【話術士】世界最強戰團聽我號令 - 02 [1080P][Baha][WEB-DL][AAC AVC][CHT].mp4
2024年10月15日 上午5:23:42,2024年10月15日 下午12:24:00,Movies,Alya Sometimes Hides Her Feelings in Russian
2024年10月15日 上午7:07:36,2024年10月15日 下午12:07:39,Movies,Alya Sometimes Hides Her Feelings in Russian
2024年10月15日 上午6:27:53,2024年10月15日 上午11:27:53,Movies,White Snake: Afloat
2024年10月15日 上午6:16:30,2024年10月15日 上午10:45:31,,[LoliHouse] Hitoribocchi no Isekai Kouryaku - 02 [WebRip 1080p HEVC-10bit AAC SRTx2].mkv
